6.06	140.41	0.0	0.06	0.01
8.08	251.03	0.0	0.21	0.03
10.11	362.2	0.0	0.45	0.08
12.13	463.45	0.01	0.75	0.16
14.16	550.79	0.03	1.08	0.27
16.18	624.54	0.05	1.45	0.41
18.21	698.2	0.09	1.85	0.59
20.23	781.78	0.13	2.31	0.83
22.26	877.58	0.19	2.86	1.13
24.28	985.81	0.26	3.49	1.51
26.31	1106.29	0.35	4.21	1.98
28.34	1239.9	0.45	5.02	2.54
30.36	1388.15	0.57	5.95	3.23
32.39	1553.36	0.72	6.99	4.06
34.41	1738.23	0.89	8.17	5.04
36.44	1945.72	1.09	9.49	6.22
38.46	2178.86	1.33	10.98	7.61
40.49	2440.76	1.6	12.66	9.26
42.51	2734.45	1.92	14.54	11.19
44.54	3063.22	2.29	16.62	13.45
46.56	3430.23	2.71	18.93	16.05
48.59	3838.88	3.19	21.45	19.05
50.62	4292.53	3.74	24.2	22.47
52.64	4794.66	4.36	27.17	26.35
54.67	5348.89	5.04	30.35	30.69
56.69	5958.9	5.81	33.71	35.51
58.72	6628.48	6.65	37.22	40.81
